id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34101323,UNIQUE APARTMENT WITH BALCONY IN MUNICH,257508834,Elena,,Sendling,48.1133,11.54994,Entire home/apt,124,2,19,2019-10-06,0.71,1,0,0,
34132437,"COZY, CENTRAL APARTMENT WITH GARDEN",257716888,Guillaume,,Schwanthalerhöhe,48.14169,11.53752,Entire home/apt,146,2,18,2019-12-13,0.64,1,0,0,
34136011,Gemütliches Apartment zentral gelegen in München,205874207,Sofia,,Ramersdorf-Perlach,48.12154,11.60086,Entire home/apt,36,6,17,2021-09-26,0.59,1,26,2,
34152600,Bright and spacious apartment near by city center,257851895,Daniel,,Moosach,48.18418,11.52064,Entire home/apt,100,4,0,,,1,173,0,
34191967,COZY STUDIO APARTMENT IN CENTRAL LOCATION,258149497,Claudia,,Schwabing-West,48.16596,11.57285,Entire home/apt,125,2,0,,,1,0,0,
34193278,NEW*** Fancy Ready-to-Live Apartment in Munch City,1936135,Sweet,,Sendling,48.11318,11.55102,Entire home/apt,99,90,14,2020-07-29,0.57,2,331,1,
34201017,Cosy flat for 4 persons in the center of munich,258210066,Johanna,,Schwabing-West,48.15846,11.57692,Entire home/apt,250,5,4,2019-10-05,0.17,1,268,0,
34239679,Neubau Studio mit Klimaanlage,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11194,11.61711,Entire home/apt,64,25,16,2021-08-28,0.98,33,1,2,
34239756,Amazing Penthouse (100sqm with a spacious terrace),7840372,Philipp,,Milbertshofen-Am Hart,48.17711,11.5685,Entire home/apt,110,63,4,2020-03-30,0.14,2,333,0,
34240148,Schönes Neubau Apartment mit Klimaanlage!,205832270,K1-Mysecondhome De,,Ramersdorf-Perlach,48.11171,11.61728,Entire home/apt,64,25,1,2019-09-06,0.04,33,14,0,
34252303,Private Room in shared Apartment,14921698,Katharina,,Pasing-Obermenzing,48.14113,11.4573,Private room,49,2,3,2019-06-07,0.10,2,178,0,
34298106,Schmuckstück im beliebten Szeneviertel.,54373205,Waltraud,,Au-Haidhausen,48.12912,11.60253,Entire home/apt,220,1,12,2021-09-05,0.43,1,0,5,
34299119,"BRIGHT, COZY 2-ROOM APARTMENT WITH A BALCONY",258946737,Sabrina,,Pasing-Obermenzing,48.1499,11.46892,Entire home/apt,144,2,1,2019-05-17,0.03,1,0,0,
34312665,Modern executive apartment in downtown Munich,259041583,Matthias,,Altstadt-Lehel,48.13391,11.57959,Entire home/apt,354,2,55,2021-09-11,2.16,1,285,17,
34331943,"Lichthof Schlafoase ""Sunlight"" mitten im Hotspot",28482431,Adriana,,Ludwigsvorstadt-Isarvorstadt,48.13024,11.579,Entire home/apt,121,1,86,2021-09-11,2.98,4,219,16,
34337311,Deluxe-Apartment with perfect subway-connection,127489266,EasyStreet,,Ramersdorf-Perlach,48.09704,11.64539,Entire home/apt,128,1,45,2020-11-16,1.58,9,360,8,
34338749,"Chummy Room, 5 min to Oktoberfest",254350209,Bernhard,,Schwanthalerhöhe,48.13774,11.54434,Private room,173,2,1,2019-09-29,0.04,10,364,0,
34345544,Wohnen am Englischen Garten & Besuch Oktoberfest,251121072,Fatos,,Schwabing-Freimann,48.16969,11.6026,Entire home/apt,175,3,2,2019-07-07,0.07,1,87,0,
34353926,JOYN Munich Rose - Cat. Smart Single (1-27 n.),259364546,Team JOYN,,Ramersdorf-Perlach,48.12063,11.60707,Private room,120,1,0,,,7,338,0,
34367226,Downtown Munich,166415576,Franziska,,Maxvorstadt,48.1492,11.57352,Entire home/apt,80,2,22,2020-03-02,0.79,1,0,0,
34419816,LIVE IN MUNICH'S SMALL OASIS WITH A BALCONY,259544028,Joshua,,Schwabing-West,48.16467,11.57282,Entire home/apt,124,2,17,2019-11-10,0.63,1,0,0,
34424217,Sonnendurchflutete Dachgeschosswohnung in München,259871383,Johanna,,Ludwigsvorstadt-Isarvorstadt,48.13642,11.56281,Entire home/apt,150,4,7,2019-09-01,0.26,1,159,0,
34431406,Lovely 2-floor App. @ English Garden,9215330,Eni,,Maxvorstadt,48.14657,11.58387,Entire home/apt,159,15,0,,,1,27,0,
34431776,"""Moonlight"" Schlafoase mitten im Szenenviertel",28482431,Adriana,,Ludwigsvorstadt-Isarvorstadt,48.13081,11.57832,Entire home/apt,97,1,59,2021-09-13,2.07,4,282,22,
34436149,Stilvolle Altbauwohnung in Schwabing,21198286,Gabriela,,Schwabing-West,48.1639,11.57251,Entire home/apt,167,1,15,2019-11-29,0.52,1,82,9,
